,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
serial_number,20UPGM22601022,20UPGM22601026,20UPGM22601027,20UPGM22601029,20UPGM22601030,20UPGM22601034,20UPGM22601035,20UPGM22601036,20UPGM22601038,20UPGM22601042,20UPGM22601045,20UPGM22601046,20UPGM22601047,20UPGM22601049,20UPGM22601051,20UPGM22601061,20UPGM22601066,20UPGM22601039,20UPGM22601074,20UPGM22601073,20UPGM22601052,20UPGM22601016,20UPGM22601065,20UPGM22601020,20UPGM22601024,20UPGM22601050,20UPGM22601025,20UPGM22601023,20UPGM22601021,20UPGM22601037,20UPGM22601064,20UPGM22601072,20UPGM22601062,20UPGM22110427,20UPGM22601054,20UPGM22601044,20UPGM22601015,20UPGM22601041,20UPGM22601071,20UPGM22601070,20UPGM22601031,20UPGM22101021,20UPGM22601053,20UPGM22601067,20UPGM22601069,20UPGM22601063,20UPGM22601048,20UPGM22601055,20UPGM22601068,20UPGM22601075,20UPGM22601076,20UPGM22601077,20UPGM22601078,20UPGM22601079,20UPGM22601080,20UPGM22601081,20UPGM22601082,20UPGM22601083,20UPGM22601084,20UPGM22601085,20UPGM22601086,20UPGM22601087,20UPGM22601088,20UPGM22601089,20UPGM22601090,20UPGM22601094,20UPGM22601096,20UPGM22601099,20UPGM22601100,20UPGM22601101,20UPGM22601102,20UPGM22601103,20UPGM22601109,20UPGM22601111,20UPGM22601112,20UPGM22601113,20UPGM22601114,20UPGM22601115,20UPGM22601116,20UPGM22601117,20UPGM22601118
AsicFmarkTL_x,-21.015,0,-21.083,-21.229,-21.056,-21.015,-21.106,-21.048,-21.131,-21.171,-21.081,-20.911,-21.21,-21.159,-21.093,-21.131,0,-21.083,-21.081,-21.053,-21.093,-21.056,-21.081,-21.095,-21.134,-21.053,-21.089,-21.064,-21.05,-21.025,-21.12,-21.061,-21.042,-21.031,-21.061,-21.07,-21.037,-21.056,-21.067,-21.061,-21.044,-21.044,-21.015,-21.053,-21.12,-21.112,-21.042,-21.042,-21.073,-21.093,0,-21.073,-21.067,-21.028,-21.131,-21.061,-21.073,0,-21.106,-21.1,-21.106,-21.073,-21.087,-21.073,-21.093,-21.073,-21.053,-21.106,-21.048,-21.093,-21.073,-21.073,-21.067,-21.048,-21.061,-21.081,-21.106,-21.048,-21.028,-21.12,-21.093
AsicFmarkTL_y,20.842,0,20.632,20.549,20.652,20.711,20.75,20.639,20.51,20.608,20.659,20.659,20.686,20.53,20.666,20.555,0,20.638,20.647,20.659,20.594,20.638,20.647,20.547,20.613,20.672,20.605,20.644,20.652,20.671,20.639,20.692,20.744,20.722,20.731,20.697,20.663,20.703,20.647,20.653,20.71,20.644,20.659,20.686,20.672,20.672,20.659,20.62,20.659,20.614,0,20.678,20.686,20.672,20.549,20.705,20.633,0,20.608,20.698,20.653,20.659,20.614,20.608,20.627,20.627,20.659,20.608,20.678,20.659,20.653,20.692,20.692,20.737,20.705,20.633,20.666,20.698,20.705,20.6,20.561
AsicFmarkTR_x,20.981,20.851,20.923,20.773,20.942,20.995,20.903,20.968,20.878,20.839,20.948,21.118,20.792,20.858,20.909,20.903,0,20.923,20.942,20.948,20.903,20.948,20.937,20.923,20.87,20.942,20.937,20.923,20.956,20.981,20.89,20.948,20.968,20.968,20.937,20.937,20.956,20.956,20.917,20.942,20.956,20.968,20.981,20.956,20.89,20.898,20.968,20.948,20.948,20.917,0,20.917,20.942,20.976,20.878,20.948,20.942,0,20.909,20.923,20.903,20.937,20.929,20.923,20.917,20.937,20.948,20.909,20.948,20.903,20.942,20.942,20.929,20.956,20.929,20.929,20.903,20.962,20.962,20.903,20.903
AsicFmarkTR_y,20.866,20.827,20.742,20.892,20.742,20.671,20.742,20.677,20.716,20.898,20.599,20.58,20.722,20.814,20.716,20.625,0,20.71,20.716,20.691,20.716,20.73,20.736,20.658,20.749,20.736,20.683,20.697,20.71,20.703,20.736,20.742,20.82,20.755,20.775,20.742,20.736,20.749,20.722,20.703,20.761,20.71,20.716,20.749,20.769,20.742,20.73,20.716,20.749,20.71,0,20.73,20.722,20.722,20.691,20.755,20.73,0,20.736,20.755,20.749,20.73,20.722,20.761,20.82,20.683,20.736,20.677,20.722,20.775,20.736,20.736,20.769,20.755,20.761,20.716,20.769,20.73,20.71,20.71,20.697
AsicFmarkBL_x,-21.022,-20.927,-20.978,-20.925,-20.992,-21.061,-21.12,-21.003,-20.937,-20.905,-21.139,-20.989,-21.198,-20.95,-21.067,-21.1,0,-21.017,-21.028,-21.009,-20.989,-20.986,-21.015,-21.025,-21.011,-21.009,-20.986,-21.064,-20.998,-20.992,-21.028,-21.034,-21.003,-21.017,-21.048,-21.044,-20.986,-21.031,-21.028,-21.022,-20.998,-20.992,-20.976,-21.015,-21.028,-21.053,-20.97,-20.983,-20.983,-21.015,0,-21.028,-21.053,-20.989,-21.022,-21.053,-20.995,0,-21.003,-21.061,-21.015,-21.022,-21.003,-20.956,-20.931,-21.034,-20.995,-21.061,-21.015,-21.022,-21.015,-21.034,-21.022,-21.053,-21.028,-21.009,-21.022,-21.034,-21.034,-21.022,-20.989
AsicFmarkBL_y,-19.266,-19.506,-19.453,-19.531,-19.428,-19.369,-19.33,-19.453,-19.57,-19.473,-19.422,-19.434,-19.389,-19.57,-19.414,-19.525,0,-19.447,-19.453,-19.422,-19.492,-19.447,-19.434,-19.525,-19.48,-19.414,-19.486,-19.428,-19.428,-19.414,-19.442,-19.383,-19.33,-19.363,-19.35,-19.402,-19.428,-19.395,-19.442,-19.422,-19.375,-19.428,-19.414,-19.383,-19.414,-19.414,-19.428,-19.461,-19.414,-19.486,0,-19.408,-19.395,-19.428,-19.531,-19.369,-19.442,0,-19.467,-19.389,-19.434,-19.422,-19.473,-19.473,-19.473,-19.453,-19.414,-19.467,-19.408,-19.408,-19.434,-19.395,-19.395,-19.344,-19.375,-19.453,-19.422,-19.375,-19.383,-19.5,-19.52
AsicFmarkBR_x,20.995,21.073,21.007,21.079,21.015,20.942,20.884,21.001,21.059,21.098,20.851,21.007,20.812,21.118,20.937,20.909,0,20.987,20.987,20.987,21.007,21.026,20.995,21.007,21.001,20.995,21.026,20.968,21.007,21.007,20.976,20.956,21.001,20.987,20.956,20.962,21.02,20.981,20.968,20.968,21.001,21.001,21.04,20.995,20.976,20.942,21.026,21.034,21.015,20.995,0,20.976,20.962,21.015,20.995,20.962,21.015,0,21.015,20.956,20.987,20.995,21.007,21.04,21.059,20.962,21.007,20.962,20.981,20.976,21.001,20.962,21.001,20.948,20.987,20.995,20.987,20.976,20.968,20.987,21.02
AsicFmarkBR_y,-19.23,-19.269,-19.334,-19.191,-19.353,-19.42,-19.347,-19.406,-19.367,-19.186,-19.498,-19.509,-19.367,-19.264,-19.381,-19.484,0,-19.367,-19.406,-19.361,-19.373,-19.373,-19.353,-19.431,-19.328,-19.353,-19.386,-19.4,-19.373,-19.381,-19.347,-19.353,-19.275,-19.328,-19.322,-19.353,-19.347,-19.328,-19.373,-19.392,-19.334,-19.386,-19.361,-19.342,-19.328,-19.342,-19.361,-19.373,-19.328,-19.392,0,-19.367,-19.367,-19.381,-19.4,-19.334,-19.342,0,-19.361,-19.334,-19.342,-19.361,-19.373,-19.322,-19.275,-19.412,-19.347,-19.406,-19.373,-19.314,-19.347,-19.353,-19.322,-19.342,-19.328,-19.392,-19.322,-19.353,-19.386,-19.381,-19.392
FlexFmarkTL_x,-18.817,-18.817,-18.856,-18.973,-18.817,-18.766,-18.875,-18.778,-18.895,-18.922,-18.875,-18.688,-18.987,-18.889,-18.85,-18.909,0,-18.875,-18.87,-18.837,-18.87,-18.805,-18.856,-18.875,-18.844,-18.837,-18.85,0,-18.856,-18.837,-18.87,-18.856,-18.837,-18.844,-18.87,-18.85,-18.825,-18.844,-18.85,-18.856,-18.817,-18.844,-18.837,-18.831,-18.903,-18.875,-18.831,-18.837,-18.844,-18.864,-18.87,-18.883,-18.831,-18.825,-18.875,-18.856,-18.837,0,-18.844,-18.856,-18.87,-18.856,-18.85,-18.85,-18.909,-18.864,-18.844,-18.87,-18.837,-18.889,-18.87,-18.837,-18.864,-18.864,-18.844,-18.864,-18.864,-18.85,-18.831,-18.889,-18.875
FlexFmarkTL_y,20.115,19.986,19.959,19.869,19.959,19.986,20.056,19.947,19.822,19.939,19.947,19.927,20.005,19.875,19.986,19.869,0,19.947,19.947,19.959,19.947,19.933,19.947,19.842,20.031,19.986,19.914,0,19.959,19.953,19.959,19.978,20.05,19.972,20.011,19.998,19.959,19.986,19.972,19.947,20.017,19.966,19.953,19.992,19.966,19.992,19.939,19.927,19.953,19.927,19.939,19.947,19.998,19.939,19.9,19.992,19.927,0,19.947,19.978,19.966,19.978,19.92,19.933,19.927,19.927,19.966,19.933,19.986,19.927,19.947,19.998,19.972,20.025,20.011,19.953,19.986,20.005,19.978,19.9,19.908
FlexFmarkTR_x,18.769,18.744,18.717,18.6,18.75,18.789,18.691,18.775,18.647,18.652,18.705,18.867,18.574,18.697,18.711,18.672,0,18.697,18.697,18.736,18.705,18.764,18.705,18.705,18.725,18.736,18.73,18.73,18.725,18.73,18.697,18.717,18.73,18.744,18.711,18.725,18.744,18.736,18.725,18.717,18.75,18.725,18.75,18.75,18.672,18.686,18.744,18.725,18.73,18.705,18.697,18.705,18.73,18.744,18.705,18.717,18.736,0,18.73,18.725,18.705,18.717,18.717,18.717,18.658,18.705,18.736,18.697,18.736,18.691,18.705,18.736,18.717,18.717,18.725,18.711,18.711,18.736,18.73,18.691,18.711
FlexFmarkTR_y,20.103,20.037,20.017,20.115,19.992,19.9,19.986,19.933,19.966,20.115,19.875,19.822,19.998,20.037,19.966,19.861,0,19.972,19.978,19.978,19.978,19.978,19.978,19.908,20.031,19.998,19.972,19.953,19.986,19.986,19.986,19.998,20.07,19.972,20.044,20.011,19.992,19.986,19.966,19.959,20.005,19.998,19.959,19.986,20.011,20.005,19.978,19.966,19.972,19.947,19.972,19.986,19.992,19.972,19.92,19.998,19.986,0,19.978,20.005,19.992,19.992,19.966,19.998,20.076,19.953,19.986,19.953,19.998,19.959,19.992,19.992,20.017,20.037,20.005,19.978,20.017,20.011,19.959,19.953,19.939
FlexFmarkBL_x,-18.811,-18.786,-18.797,-18.72,-18.786,-18.207,-18.948,-18.786,-18.758,-18.733,-18.973,-18.805,-18.953,-18.708,-18.85,-18.915,0,-18.856,-18.856,-18.825,-18.844,-18.797,-18.831,-18.817,-18.844,-18.844,-18.792,-18.864,-18.831,-18.817,-18.844,-18.837,-18.817,-18.837,-18.85,-18.85,-18.805,-18.837,-18.837,-18.85,-18.837,-18.825,-18.817,-18.844,-18.87,-18.875,-18.797,-18.805,-18.831,-18.837,-18.825,-18.85,-18.844,-18.805,-18.85,-18.864,-18.792,0,-18.805,-18.844,-18.844,-18.85,-18.811,-18.811,-18.753,-18.844,-18.831,-18.864,-18.825,-18.837,-18.837,-18.864,-18.825,-18.85,-18.85,-18.837,-18.844,-18.85,-18.85,-18.844,-18.817
FlexFmarkBL_y,-18.472,-18.569,-18.589,-18.72,-18.602,-18.374,-18.517,-18.68,-18.758,-18.614,-18.628,-18.634,-18.642,-18.68,-18.642,-18.7,0,-18.602,-18.622,-18.608,-18.608,-18.628,-18.608,-18.712,-18.536,-18.569,-18.647,-18.614,-18.595,-18.608,-18.608,-18.569,-18.511,-18.642,-18.536,-18.55,-18.608,-18.575,-18.602,-18.602,-18.544,-18.589,-18.602,-18.569,-18.589,-18.563,-18.622,-18.634,-18.602,-18.628,-18.602,-18.589,-18.55,-18.608,-18.661,-18.556,-18.628,0,-18.622,-18.569,-18.583,-18.575,-18.647,-18.628,-18.634,-18.622,-18.583,-18.608,-18.575,-18.653,-18.614,-18.556,-18.563,-18.536,-18.544,-18.622,-18.569,-18.55,-18.583,-18.673,-18.673
FlexFmarkBR_x,0,18.789,18.764,18.847,18.795,18.678,18.633,18.764,18.808,18.842,18.613,18.764,18.574,18.847,18.705,18.658,0,18.717,18.725,18.75,18.736,18.795,18.75,18.764,18.73,18.73,18.783,18.711,18.744,18.764,18.736,18.725,18.756,18.744,18.725,18.73,18.775,18.75,18.73,18.725,18.736,18.75,18.764,18.73,18.717,18.705,18.783,18.775,18.756,18.736,18.756,18.725,18.725,18.769,18.725,18.717,18.783,0,18.764,18.736,18.73,18.725,18.756,18.775,18.822,18.725,18.75,18.705,18.75,18.736,18.75,18.725,18.744,18.717,18.744,18.75,18.73,18.736,18.73,18.75,18.756
FlexFmarkBR_y,0,-18.544,-18.536,-18.447,-18.569,-18.647,-18.589,-18.634,-18.602,-18.439,-18.712,-18.739,-18.575,-18.505,-18.614,-18.7,0,-18.589,-18.589,-18.569,-18.583,-18.608,-18.583,-18.661,-18.544,-18.575,-18.595,-18.622,-18.575,-18.575,-18.583,-18.556,-18.491,-18.628,-18.524,-18.55,-18.589,-18.583,-18.595,-18.595,-18.556,-18.575,-18.602,-18.575,-18.556,-18.55,-18.589,-18.595,-18.583,-18.595,-18.595,-18.575,-18.563,-18.583,-18.642,-18.569,-18.575,0,-18.583,-18.556,-18.569,-18.569,-18.595,-18.575,-18.491,-18.608,-18.569,-18.602,-18.563,-18.628,-18.575,-18.575,-18.55,-18.517,-18.536,-18.595,-18.55,-18.556,-18.602,-18.628,-18.622
