,X_DIMENSION,Y_DIMENSION,AVERAGE_THICKNESS_FECHIP_PICKUP_AREAS,STD_DEVIATION_THICKNESS_FECHIP_PICKUP_AREAS,HV_CAPACITOR_THICKNESS,AVERAGE_THICKNESS_POWER_CONNECTOR,DIAMETER_DOWEL_HOLE_A,WIDTH_DOWEL_SLOT_B
20UPGPQ2601013,39.574,40.338,0.211,0.002,0.0,0.0,3.013,3.062
20UPGPQ2601014,39.571,40.338,0.211,0.001,0.0,0.0,3.043,3.064
20UPGPQ2601015,39.563,40.341,0.21,0.002,0.0,0.0,3.011,3.02
20UPGPQ2601016,39.566,40.347,0.213,0.004,0.0,0.0,3.056,3.6
20UPGPQ2601020,39.562,40.358,0.214,0.001,0.0,0.0,3.055,3.052
20UPGPQ2601021,39.572,40.352,0.213,0.003,0.0,0.0,3.002,2.88
20UPGPQ2601022,39.566,40.353,0.213,0.002,0.0,0.0,3.011,3.056
20UPGPQ2601023,39.562,40.356,0.214,0.002,0.0,0.0,3.05,2.9
20UPGPQ2601024,39.564,40.356,0.217,0.001,0.0,0.0,3.014,3.06
20UPGPQ2601025,39.559,40.345,0.21,0.002,0.0,0.0,2.99,3.062
20UPGPQ2601026,39.565,40.343,0.209,0.002,0.0,0.0,3.055,3.066
20UPGPQ2601027,39.562,40.344,0.207,0.002,0.0,0.0,3.065,3.064
20UPGPQ2601028,39.589,40.356,0.211,0.002,1.876,1.537,3.062,3.06
20UPGPQ2601029,39.57,40.353,0.209,0.001,0.0,0.0,2.962,3.06
20UPGPQ2601030,39.564,40.352,0.209,0.001,0.0,0.0,3.061,3.062
20UPGPQ2601031,39.56,40.355,0.209,0.002,0.0,0.0,3.038,3.056
20UPGPQ2601032,39.565,40.352,0.212,0.001,0.0,0.0,3.051,3.066
20UPGPQ2601033,39.563,40.394,0.213,0.002,0.0,0.0,3.013,3.056
20UPGPQ2601034,39.564,40.478,0.208,0.002,0.0,0.0,3.016,3.06
20UPGPQ2601035,39.558,40.481,0.21,0.001,0.0,0.0,3.054,3.064
20UPGPQ2601036,39.57,40.489,0.211,0.002,0.0,0.0,3.056,3.06
20UPGPQ2601037,39.568,40.349,0.211,0.002,0.0,0.0,2.999,3.2
20UPGPQ2601038,39.57,40.479,0.211,0.001,0.0,0.0,3.016,3.058
20UPGPQ2601039,39.55,40.333,0.212,0.002,1.864,1.527,3.014,3.2
20UPGPQ2601041,39.568,40.45,0.211,0.001,1.927,1.534,3.028,3.062
20UPGPQ2601042,39.565,40.347,0.21,0.002,1.862,1.541,3.055,3.056
20UPGPQ2601044,39.554,40.347,0.211,0.002,1.941,1.537,3.059,3.06
20UPGPQ2601045,39.566,40.338,0.211,0.001,1.882,1.569,3.056,3.14
20UPGPQ2601046,39.564,40.373,0.211,0.003,1.909,1.534,3.054,3.05
20UPGPQ2601047,39.559,40.344,0.226,0.012,1.942,1.517,3.056,3.066
20UPGPQ2601048,39.557,40.399,0.213,0.002,1.884,1.536,3.025,3.34
20UPGPQ2601049,39.565,40.454,0.208,0.002,1.944,1.542,3.025,3.022
20UPGPQ2601050,39.565,40.336,0.211,0.001,1.87,1.524,3.059,3.068
20UPGPQ2601051,39.562,40.34,0.212,0.001,1.87,1.556,3.027,3.06
20UPGPQ2601052,39.565,40.338,0.215,0.002,1.867,1.536,3.026,3.09
20UPGPQ2601053,39.577,40.358,0.208,0.002,1.848,1.507,3.01,3.036
20UPGPQ2601054,39.559,40.358,0.21,0.002,1.941,1.522,3.059,3.08
20UPGPQ2601055,39.562,40.349,0.21,0.003,1.942,1.531,3.06,3.08
20UPGPQ2601056,39.559,40.353,0.213,0.003,1.936,1.518,3.06,3.068
20UPGPQ2601057,39.572,40.488,0.209,0.001,1.925,1.517,3.059,3.062
20UPGPQ2601058,39.567,40.343,0.212,0.001,1.867,1.508,3.057,3.06
20UPGPQ2601059,39.556,40.336,0.211,0.002,1.933,1.526,3.058,3.066
20UPGPQ2601060,39.558,40.342,0.215,0.002,1.93,1.518,3.056,3.056
20UPGPQ2601061,39.563,40.338,0.217,0.01,1.865,1.523,3.018,3.14
20UPGPQ2601062,39.566,40.337,0.213,0.002,1.916,1.531,3.024,3.068
20UPGPQ2601064,39.714,40.338,0.215,0.002,1.945,1.527,3.06,3.08
20UPGPQ2601065,39.57,40.422,0.209,0.002,1.871,1.552,3.024,3.024
20UPGPQ2601066,39.602,40.407,0.212,0.002,1.869,1.527,3.026,3.034
20UPGPQ2601067,39.57,40.353,0.21,0.003,1.874,1.532,3.055,2.838
20UPGPQ2601068,39.575,40.343,0.212,0.002,1.897,1.543,3.055,3.068
20UPGPQ2601069,39.564,40.345,0.211,0.002,1.886,1.534,3.023,3.052
20UPGPQ2601070,39.563,40.339,0.211,0.002,1.942,1.532,3.027,3.2
20UPGPQ2601071,39.556,40.353,0.208,0.002,1.88,1.522,3.029,3.062
20UPGPQ2601072,39.565,40.343,0.213,0.002,1.879,1.538,3.02,3.08
20UPGPQ2601073,39.568,40.384,0.21,0.002,1.881,1.517,3.044,3.07
20UPGPQ2601074,39.563,40.335,0.213,0.001,1.898,1.538,3.028,2.952
20UPGPQ2601075,39.55,40.365,0.213,0.001,1.901,1.527,3.063,2.8
20UPGPQ2601076,39.561,40.388,0.214,0.002,1.95,1.524,3.017,3.076
20UPGPQ2601077,39.57,40.475,0.21,0.002,1.93,1.536,3.021,3.076
20UPGPQ2601078,39.568,40.346,0.211,0.002,1.887,1.539,3.017,3.068
20UPGPQ2601079,39.556,40.37,0.213,0.001,1.893,1.53,3.028,3.058
20UPGPQ2601080,39.561,40.439,0.211,0.003,1.918,1.509,3.059,3.066
20UPGPQ2601081,39.564,40.366,0.208,0.003,1.938,1.538,3.023,3.18
20UPGPQ2601082,39.571,40.339,0.209,0.001,1.919,1.539,3.05,3.068
20UPGPQ2601083,39.556,40.346,0.212,0.0,1.942,1.545,3.059,2.8
20UPGPQ2601084,39.563,40.425,0.21,0.001,1.93,1.513,3.059,3.024
20UPGPQ2601085,39.567,40.33,0.209,0.001,1.955,1.544,3.016,2.8
20UPGPQ2601086,39.563,40.372,0.21,0.001,1.892,1.542,3.017,3.08
20UPGPQ2601087,39.558,40.407,0.213,0.002,1.876,1.526,3.015,3.072
20UPGPQ2601088,39.583,40.347,0.217,0.002,1.944,1.536,3.068,3.066
20UPGPQ2601089,39.762,40.639,0.21,0.004,1.956,1.523,3.017,3.05
20UPGPQ2601090,39.564,40.345,0.209,0.002,1.906,1.535,3.067,3.08
20UPGPQ2601091,39.49,40.344,0.214,0.002,1.899,1.537,3.048,3.06
20UPGPQ2601092,39.556,40.436,0.216,0.003,1.982,1.546,3.054,3.066
20UPGPQ2601094,39.555,40.338,0.208,0.001,1.912,1.534,3.057,3.04
20UPGPQ2601095,39.563,40.323,0.236,0.088,1.971,1.546,3.033,3.054
20UPGPQ2601096,39.562,40.336,0.211,0.003,1.909,1.523,3.022,3.076
20UPGPQ2601098,39.56,40.338,0.208,0.0,1.89,1.513,3.02,3.064
20UPGPQ2601099,39.552,40.349,0.208,0.001,1.869,1.537,3.015,3.034
20UPGPQ2601100,39.562,40.335,0.21,0.002,1.895,1.536,3.06,3.064
20UPGPQ2601101,39.578,40.425,0.208,0.002,1.947,1.536,3.023,3.06
20UPGPQ2601102,39.572,40.439,0.208,0.001,1.917,1.54,3.02,3.032
20UPGPQ2601103,39.58,40.343,0.21,0.002,1.909,1.548,3.057,3.07
20UPGPQ2601106,39.573,40.494,0.21,0.002,1.924,1.52,3.058,3.024
20UPGPQ2601108,39.559,40.357,0.209,0.003,0.0,0.0,3.045,3.08
20UPGPQ2601109,39.579,40.344,0.215,0.012,1.938,1.548,3.052,3.08
20UPGPQ2601110,39.57,40.34,0.211,0.001,1.927,1.533,3.051,3.064
20UPGPQ2601111,39.565,40.339,0.21,0.002,1.932,1.527,3.057,3.064
20UPGPQ2601112,39.57,40.339,0.215,0.002,1.946,1.545,3.058,3.064
20UPGPQ2601113,39.581,40.342,0.21,0.001,1.894,1.537,3.059,3.068
20UPGPQ2601114,39.575,40.345,0.212,0.009,1.878,1.542,3.042,3.06
20UPGPQ2601115,39.711,40.429,0.214,0.008,1.966,1.552,3.044,3.062
20UPGPQ2601116,39.573,40.398,0.212,0.002,1.954,1.546,3.059,3.016
20UPGPQ2601117,39.574,40.43,0.208,0.003,1.934,1.523,3.055,3.064
20UPGPQ2601118,39.57,40.348,0.208,0.003,1.893,1.538,3.06,3.062
20UPGPQ2601119,39.573,40.382,0.209,0.003,1.963,1.522,3.019,3.14
20UPGPQ2601120,39.661,40.423,0.215,0.002,1.896,1.535,3.072,3.064
20UPGPQ2601121,39.586,40.342,0.21,0.002,1.936,1.518,3.046,3.08
20UPGPQ2601123,39.569,40.458,0.211,0.003,1.87,1.52,3.047,3.032
20UPGPQ2601125,39.575,40.347,0.209,0.001,1.952,1.534,3.055,3.068
20UPGPQ2601126,39.566,40.361,0.21,0.001,1.893,1.534,3.052,3.06
20UPGPQ2601127,39.56,40.351,0.211,0.002,1.884,1.532,3.056,3.2
20UPGPQ2601128,39.557,40.372,0.209,0.001,1.892,1.536,3.039,3.056
20UPGPQ2601129,39.567,40.386,0.21,0.003,1.936,1.538,3.005,3.064
20UPGPQ2601130,39.565,40.341,0.208,0.001,1.888,1.517,3.071,3.068
20UPGPQ2601131,39.581,40.345,0.208,0.001,1.888,1.532,3.054,3.082
20UPGPQ2601133,39.594,40.363,0.211,0.002,1.888,1.541,3.047,3.034
20UPGPQ2601134,39.57,40.344,0.218,0.013,1.933,1.533,3.051,3.08
20UPGPQ2601136,39.565,40.345,0.211,0.001,1.969,1.515,3.056,3.04
20UPGPQ2601137,39.574,40.345,0.21,0.001,1.96,1.535,3.048,3.074
20UPGPQ2601138,39.57,40.348,0.219,0.013,1.925,1.537,3.064,3.068
20UPGPQ2601139,39.559,40.397,0.208,0.002,1.872,1.526,3.06,3.02
20UPGPQ2601140,39.563,40.382,0.208,0.002,1.933,1.531,3.009,3.06
20UPGPQ2601141,39.569,40.349,0.21,0.002,1.878,1.544,3.05,3.06
20UPGPQ2601142,39.567,40.346,0.211,0.001,1.966,1.539,3.048,3.14
20UPGPQ2601143,39.558,40.352,0.209,0.001,1.874,1.534,3.061,3.08
20UPGPQ2601144,39.567,40.49,0.208,0.001,1.876,3.661,0.137,3.08
20UPGPQ2601145,39.568,40.336,0.213,0.002,1.866,1.544,3.045,3.068
20UPGPQ2601146,39.572,40.338,0.219,0.01,1.956,1.541,3.054,3.06
20UPGPQ2601147,39.555,40.342,0.216,0.002,1.874,1.557,3.046,3.06
20UPGPQ2601148,39.566,40.339,0.216,0.002,1.878,1.519,3.056,3.056
20UPGPQ2601149,39.571,40.339,0.212,0.002,1.937,1.544,3.054,3.06
20UPGPQ2601150,39.572,40.341,0.212,0.003,1.936,1.553,3.047,3.056
20UPGPQ2601151,39.556,40.346,0.211,0.002,1.946,1.542,3.056,3.06
20UPGPQ2601152,39.559,40.344,0.218,0.002,1.952,1.541,3.056,3.064
20UPGPQ2601153,39.564,40.34,0.211,0.002,1.939,1.555,3.052,3.054
20UPGPQ2601154,39.564,40.342,0.213,0.002,1.88,1.534,3.02,3.088
20UPGPQ2601155,39.554,40.345,0.212,0.001,1.954,1.532,3.059,3.064
20UPGPQ2601156,39.561,40.351,0.217,0.001,1.891,1.55,3.057,3.06
20UPGPQ2601157,39.559,40.343,0.213,0.001,1.932,1.542,3.023,3.064
20UPGPQ2601158,39.557,40.339,0.211,0.001,1.886,1.533,3.025,3.01
20UPGPQ2601159,39.544,40.342,0.212,0.002,10.992,1.536,3.049,3.064
20UPGPQ2601160,39.559,40.442,0.212,0.002,1.94,1.526,3.035,3.064
20UPGPQ2601161,39.567,40.394,0.221,0.01,1.924,1.55,3.054,3.06
20UPGPQ2601162,39.56,40.493,0.212,0.0,1.863,1.522,3.052,3.068
20UPGPQ2601163,39.549,40.401,0.211,0.001,1.926,1.552,3.014,3.066
20UPGPQ2601164,39.552,40.394,0.213,0.001,1.886,1.521,3.057,16.2
20UPGPQ2601166,39.555,40.447,0.226,0.014,1.896,1.54,3.016,3.196
20UPGPQ2601167,39.547,40.35,0.214,0.002,1.942,1.535,3.014,3.048
20UPGPQ2601168,39.557,40.348,0.211,0.002,1.88,1.541,3.051,3.06
20UPGPQ2601169,39.569,40.334,0.211,0.002,1.912,1.533,3.056,3.056
20UPGPQ2601171,39.56,40.34,0.212,0.002,1.916,1.538,3.054,3.064
20UPGPQ2601172,39.563,40.337,0.209,0.002,1.884,1.519,3.058,3.06
20UPGPQ2601176,39.559,40.346,0.21,0.002,1.951,1.533,3.05,3.064
20UPGPQ2601177,39.563,40.339,0.213,0.001,1.892,1.528,3.031,3.06
20UPGPQ2601178,39.561,40.34,0.214,0.002,1.952,1.535,3.043,3.064
20UPGPQ2601179,39.558,40.346,0.213,0.002,1.941,1.548,3.052,3.06
20UPGPQ2601180,39.561,40.348,0.212,0.002,1.889,1.574,3.041,3.05
20UPGPQ2601181,39.566,40.342,0.21,0.002,1.885,1.543,3.053,3.052
20UPGPQ2601182,39.565,40.339,0.212,0.002,1.885,1.536,3.042,3.064
20UPGPQ2601183,39.552,40.345,0.207,0.001,0.0,0.0,3.014,3.062
